2023-06-14 14:38:09
===================================================================================================
Training ElitePool: 0
===================================================================================================
                        moveForward    |    moveForward          minEnergy     
0       -0.051              0.4663              -284.7              0                   
1       0.3755              0.0007              -16974              0                   
2       -0.054              0.4674              -314.9              0                   
3       0.2219              -0.299              -506.5              0                   
4       0.2303              0.0761              -1727.              0                   
5       0.0217              0.2282              -621.0              0                   
6       0.0764              -0.171              -666.9              0                   
7       0.2949              -0.097              -1467.              0                   
8       0.1593              0.1691              -791.3              0                   
9       0.3698              -0.076              -1614.              0                   
10      -0.000              0.2071              -511.2              0                   
11      0.1775              0.1093              -1308.              0                   
12      0.2082              -0.152              -911.0              0                   
13      -0.124              0.1495              -910.2              1                   
14      0.1243              -0.135              -831.3              1                   
15      -0.121              -0.108              -777.4              1                   
gen:   0              0.1192 / 0.3755     0.0520 / 0.4674     -11436 / -284.7   
